,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
62,10.0,10.0,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,9.0,9.1,9.2,9.1
63,,,,,,,,,,2.9,3.0,2.8,3.2,2.98,3.6,3.6,3.4,3.4
64,,,,,,,,,4.5,5.6,6.0,5.9,5.2,5.17,5.8,5.8,5.8,
65,,,,3.1,,,,,,,,,,,,,,
66,,,,,3.5,,,,,,,,,,,,,
67,,,,,,3.3,2.9,3.0,2.8,3.0,3.0,3.0,3.0,2.59,3.2,2.9,3.2,3.3
68,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2.0,2.2,2.5,2.65,3.2,3.5,3.3,3.2
69,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,3.2,3.2,3.7,3.6
70,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4.0,4.0,3.9,3.4,3.6,3.42,3.8,3.8,3.9,3.9
71,,,,,,,,1.9,2.1,1.9,1.7,1.8,1.9,1.91,2.0,1.9,,
72,,,,,,,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,2.5,2.0,1.8,1.8
73,5.7,5.7,5.7,5.6,5.6,5.5,6.0,6.4,6.7,6.5,6.6,6.6,6.5,6.35,6.4,6.8,6.9,7.0
74,,,3.2,,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,3.3,3.3,3.3,3.3
75,,,,,,,,4.0,,,,,,,,,,
76,9.6,9.8,10.0,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9.0,8.9,9.2,9.4,9.0,8.9,8.9,9.0
77,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,7.1,7.1,6.9,7.0
78,,,,,,,,,,3.3,,3.8,4.1,3.94,,,,
79,,,,,,,3.3,2.9,3.0,3.3,3.1,2.9,2.8,2.98,3.5,3.4,3.7,3.4
80,,,,,,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,3.4,2.8,2.9,2.8
81,,2.3,,,2.4,1.8,2.0,2.3,2.8,3.4,3.9,4.1,3.8,4.13,5.2,4.9,5.2,5.2
82,7.9,8.0,7.6,7.4,7.3,7.7,8.2,8.2,8.0,7.8,7.9,8.0,7.9,8.05,7.9,7.8,7.9,8.1
83,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,4.5,4.6,4.8,4.7
84,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,3.6,4.0,4.3,4.6
85,,,,,,,,,3.5,3.4,,,,,,,,
86,3.1,3.2,,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,3.3,2.9,3.2,2.8
87,,,,,,,,,1.9,1.9,1.6,1.8,2.0,2.11,2.4,2.4,2.5,2.5
88,,,,,,,,,,2.2,1.9,1.9,2.1,2.2,2.5,1.9,1.9,1.7
89,,,,,,,,2.5,2.5,2.6,2.6,2.6,2.7,2.49,2.8,2.7,3.0,2.9
90,,,,,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,1.9,1.9,1.9,1.7
91,1.7,1.8,,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,2.8,2.6,2.9,3.1
92,7.8,7.7,7.7,7.9,8.2,8.0,8.0,8.3,8.3,8.3,8.1,8.2,8.4,8.39,7.7,7.5,7.4,7.5
93,5.0,5.2,5.2,5.3,4.9,4.8,4.8,5.0,5.2,5.3,5.1,5.1,4.7,4.56,5.5,5.4,5.4,5.1
94,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,8.2,7.8,7.9,7.9
95,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,3.6,3.6,3.8,3.8
96,2.0,1.7,1.7,1.9,1.9,1.9,2.0,2.2,2.4,2.3,2.6,2.8,2.8,3.03,3.2,3.2,3.4,3.6
97,,,,,,3.0,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,2.8,2.5,2.7,2.7
